company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
Shenyang Yu Shuo Da Science And Technology Ltd.,Ms. Ala Chen,,86-024-23313430,86-18240310652,,tiexie,110000,China,Liaoning,shenyang,http://www.ysdmedicalequipment.com,http://yushuoda.en.alibaba.com/contactinfo.html
Zhangjiagang Jiawen Plastic Products Factory,Ms. Helen Xiao,international sales manager,0086-512-58453677,0086-15151717698,0086-512-58427383,Shuanglong Village Fenghuang Town,215613,China,Jiangsu,Zhangjiagang,http://www.jiawen-plastic.com,http://zjgjiawen.en.alibaba.com/contactinfo.html
"Ningbo Guangmu Hardware Co., Ltd.",Mr. Tengchao Yao,Manager,86-574-62704650,13586775235,86-574-62704651,"Fengxiang Road,Lianghui Economic Development Area,Yuyao,Zhejiang,China",315400,China,Zhejiang,Yuyao,http://www.kithelper.com,http://nbguangmu.en.alibaba.com/contactinfo.html
"Hangzhou Nanaimo Trading Co., Ltd.",Mr. Lyson Lin,Sales Manager,0086-574-22661860,13566082693,0086-574-22661880,"701Room, B Wenjin Building NO.116, Wensan Road, Hangzhou China",310012,China,Zhejiang,Hangzhou,http://www.canack.com,http://canack.en.alibaba.com/contactinfo.html
"Guangzhou Scienfocus Lab Equipment Co., Ltd.",Ms. Patty Xiao,Sales manager,86-020-29881968,13724812252,86-020-29881968,"Rm.16, Building 5, Huaqiao, Huadong Town, Huadu District,",510890,China,Guangdong,Guangzhou,http://www.sfslab.com,http://sfslab.en.alibaba.com/contactinfo.html
"Shanghai Lingyu Pet Products Co., Ltd.",Mr. ling yu shang hai,,0086-021-39800277,008615201863337,,jaiding,230000,China,Shanghai,shanghai,http://lingyupet.en.alibaba.com,http://lingyupet.en.alibaba.com/contactinfo.html
"Shanghai Shenyue Pet Products Co., Ltd.",Ms. Cindy Li,,086-021-39800277,15201863337,,Shanghai Qingpu,201709,China,Shanghai,Shanghai,http://www.shhsy27.com,http://pet-happy.en.alibaba.com/contactinfo.html
"Beijing Beiteshuang Technology Development Co., Ltd.",Ms. Tina Zhang,foreign trade manager,86-010-58440851,13001937248,,shijingshan district Shoutegang Building 1120,100041,China,Beijing,beijing,http://www.bts-biotechnology.com,http://btsbiology.en.alibaba.com/contactinfo.html
"Nanjing Long Medical Technology Co., Ltd.",Ms. Shirley Wong,Sales,0086-025-159505453904,15950453904,0086-025-159505453904,Jinsheng Road,211112,China,Jiangsu,Nanjing,http://longmedtec.com,http://longmedtec.en.alibaba.com/contactinfo.html
"Ningbo Puls Material Technology Co., Ltd.",Ms. Jane Chen,Manager,86-574-87406360,13567485979,86-574-87406360,"1-301 #Jishi core Valley 859, Guang Sheng Road,Haishu District , Zhejiang,China.",315171,China,Zhejiang,Ningbo,,http://puls-chemicals.en.alibaba.com/contactinfo.html
"Xinxiang Yuxin Aviation Cryogenic Container Co., Ltd.",Ms. Alice Song,,0086-0373-3338466,15903869378,,Jianshe Road,453700,China,Henan,Xinxiang,http://www.hkydsw.com/eng/,http://xxyxhk.en.alibaba.com/contactinfo.html
"Nanjing Superstar Medical Equipment Co., Ltd.",,,,,,,,China,,,https://www.superstar-med.net/,http://njsuperstar.en.alibaba.com/contactinfo.html
"Weifang Newheek Electronic Tech Co., Ltd.",Ms. Wendy Wang,Manager,86-536-8882360,13791899922,86-536-8882360,No.13426 Yuqing East Street,261061,China,Shandong,Weifang,http://www.newheek.com,http://newheek.en.alibaba.com/contactinfo.html
"Longfian Scitech Co., Ltd.",Ms. Long fian,,86-312-312-5909505,13632739340,,"2F&3F, East Section, Building 12, Power valley pioneer park, NO.369 Huiyang street",,China,Hebei,Baoding,http://www.longfianoxygen.com/,http://longfian.en.alibaba.com/contactinfo.html
"Shanghai Huifeng Medical Instrument Co., Ltd.",Ms. Huihua Shao,Manager,86-21-13918165133,13918165133,86-021-58084992,"No.7753 Chuannanfeng Highway,Datuan Town",201311,China,Shanghai,Shanghai,http://www.huifeng-co.com,http://shhuifeng.en.alibaba.com/contactinfo.html
"Nanjing AMIS Medical Technology Co., Ltd.",Ms. Lily Song,Sales General Manager,86-25-84823599,13913952015,86-25-84823599,"19F PEACE MANSION, 22BEIJING EAST ROAD",,China,Jiangsu,Nanjing,http://www.amismedical.com,http://amismed.en.alibaba.com/contactinfo.html
"Henan Growing Mechanical Equipment Co., Ltd.",Ms. Ruby Wang,,0086-379-18236921379,18236921379,,"West room 3rd floor,Unit 2,Building 18, Amber city,No.9 Tianlun Road, Jinshui District",450000,China,Henan,Zhengzhou,http://chinaagrimachine.en.alibaba.com,http://chinaagrimachine.en.alibaba.com/contactinfo.html
"Suzhou Proway Imp. & Exp. Co., Ltd.",Mr. Michael Wu,Marketing Director,0086-512-68185509,18626118249,0086-512-68185539,"C111, Oriental-Innovation Center, No.216, Jinfeng Road",215101,China,Jiangsu,Suzhou,http://www.lexison.com,http://chinaproway.en.alibaba.com/contactinfo.html
"Shanghai Fu Hao Medical Technology Co., Ltd.",Ms. Linda Xing,,86-021-18616994120,18616994120,,jinshanqu,201500,China,Shanghai,shanghai,,http://shfuhao.en.alibaba.com/contactinfo.html
"Wuhan Darppon Medical Technology Co., Ltd.",Ms. Anny Liu,,86-27-87053356,,,East Lake High-Tech Development Zone,430074,China,Hubei,wuhan,http://www.darppon.com,http://whdarppon.en.alibaba.com/contactinfo.html
"Guangzhou Medsinglong Medical Equipment Co., Ltd.",Mr. Phil Wu,Manager,0086-138-26448637,86-13826448637,0086-20-84899760,"No. 71 and 73 Jiejin 2nd Rd, Shiqiao Town, Panyu District,",511400,China,Guangdong,Guangzhou,http://www.medicalequipment-msl.com/,http://medicalequipment-msl.en.alibaba.com/contactinfo.html
"Yutian Futai International Trade Co., Ltd.",Mr. will wang,Overseas' Manager,86-0315-6351550,15510633055,86-0315-6351550,"Room 502, Unit 5, Building No. 9, Huadu Mansion",064100,China,Hebei,Tangshan,http://husbandry-poutry.en.alibaba.com,http://husbandry-poutry.en.alibaba.com/contactinfo.html
"Suzhou Lingyan Medical Technology Co., Ltd.",Ms. Ellen Chen,Director,86-21-61551766,15001814008,,"No.99 Maopeng Rd, Xujiang Industrial Park, Wuzhong District",215164,China,Jiangsu,Suzhou,http://www.szlingyan.com,http://szlingyan.en.alibaba.com/contactinfo.html
"Shanghai Berry Electronic Tech. Co., Ltd.",Ms. Kelly Chan,manager,86-21-58530468,18217290806,86-21-58531958,Suit C 1st floor 7th Building No1188 lianhang road Minhang district Shanghai China,201112,China,Shanghai,Shanghai,http://www.berry-med.com,http://berrymed.en.alibaba.com/contactinfo.html
Dezhou Decheng Yuancheng Poultry Equipment Factory,Mr. kevin sun,general manager,0086-534-2316189,008618953480434,0086-534-2316189,"dexing north street,decheng district",253000,China,Shandong,dezhou,,http://dzyuancheng.en.alibaba.com/contactinfo.html
"Ningbo Beilun Sound Hardware Industrial And Trade Co., Ltd.",,,,,,,,China,,,http://www.sound-ai.com,http://soundai.en.alibaba.com/contactinfo.html
"Okuni Industry&Trade (Dalian) Co., Ltd.",Mr. Reagan Yu,Sales Manager,0086-411-66839729,0086-13478936632,0086-411-82580082,"NO.1021 NO.42 SHANGHAI ROAD, ZHONGSHAN DISTRICT, DALIAN CHINA",116001,China,Liaoning,DALIAN,http://www.okunygroup.com,http://okujp.en.alibaba.com/contactinfo.html
"Guangzhou Happycare Electronics Co., Ltd.",Ms. Helen Yang,,86-20-22063308,008615820241249,,"Room 2609, Dongcheng Square, No. 5, Huangpu East Road,Huangpu district",,China,Guangdong,guangzhou,http://www.happycaregroup.com,http://happycaregroup.en.alibaba.com/contactinfo.html
