company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"Shenzhen ETA Technology Co., Ltd.",Ms. Shanny True,Manager,86-0755-27428080,008613826534318,86-0755-27428090,"Yangyong,Songgang,Shenzhen",518105,China,Guangdong,Shenzhen,http://www.smt11.com,https://smteta.en.alibaba.com
"Yueqing Qihe Electrical Technology Co., Ltd.",Mr. KIM Jin,,86-577-62058872,,,"Room201 Building B,NO.261, Latitude Seventeen Road, Economic Development zone,",325600,China,Zhejiang,yueqing,http://www.qhsmt.com,https://qihesmt.en.alibaba.com
"Shenzhen Leaderway Electronics Co., Ltd.",Ms. Alyssa Huang,,86-755-61485554,86-13554981629,,"Liuhe Commercial Plaza,No.168 Shenshan Road,Pingshan District",518118,China,Guangdong,Shenzhen,http://www.leadersmt.com,https://leadersmt.en.alibaba.com
"Shenzhen Oubel Technology Co., Ltd.",Ms. Spring Xu,sales manager,86-0755-29546287,86-139 2659 6436,86-0755-23502284,"No.15,Xinyu Road,Buchong,Bao'an",518104,China,Guangdong,Shenzhen,https://www.obsmt.com,https://oubel.en.alibaba.com
Beijing Torch SMT Incorporated Company,Mr. Richard zhao,international assitant,86-10-51669522,,86-10-51669522,"15 Jingsheng South 4th Street, Jinqiao Science And Technology Industrial Base, Tongzhou District, Zhongguancun High-Tech Park, Beijing, China",100018,China,Beijing,Beijing,http://www.torchsmt.com,https://torch.en.alibaba.com
"Shenzhen ETA Electronic Equipment Co., Ltd.",Mr. henry wang,SALES,86-0755-27428080,13825286023,86-0755-27428090,"No. 3, Road 3, Yangyong Industrial Area, Shapu, Songgang St., Bao'an Area",518127,China,Guangdong,SHENZHEN,http://www.SMT11.com,https://etasmt.en.alibaba.com
Changsha Suny Electronic Technology Limited,Ms. Susie Wang,,86-731-52765018,,,"QINGSHAN INDUSTRIAL ZONE, LUGU HIGH TECH PARK, YUELU DISTRICT",411000,China,Hunan,Changsha,http://www.sunyinstrument.com,https://cssuny.en.alibaba.com
"Dongguan Yangling E-Business Trading Co., Ltd.",Ms. Anna Chen,sales,86-0769-85358431,15907692579,86-0769-85358433,"5th of Hailian Building, NO.6 Xin'an 2nd Road, Xin'an Community, Chang'an Town, Dongguan City, Guangdong, China.",523881,China,Guangdong,Dongguan,http://www.smtyangling.com,https://yanglingdg.en.alibaba.com
"Shenzhen Eton Automation Equipment Co., Ltd.",Ms. Susie Jin,sales manager,86-0755-29502122,86-13823797925,86-0755-29502066,"5th Bld,3rd Fu'an Industrial Area,Fuyong Town,Bao'an District.",518103,China,Guangdong,Shenzhen,http://www.eton-mounter.com,https://mounter.en.alibaba.com
"Shenzhen JAGUAR Automation Equipment Co., Ltd.",Mr. Tony Wang,Manager,0086-755-23316315,0086-18271470720,1086-755-29497125,"Building A07,hongtian jinyuan industrial zone,hongtian road, xinqiao street, shenzhen,China",518125,China,Guangdong,Shenzhen,http://www.jaguar-ele.net,https://jiebaosmt.en.alibaba.com
"Jiaxing Bovi Electronic Technology Co., Ltd.",Ms. Grace Xu,Sales manager,86-0573-82816086,008618767168255,,"Room 106, Building 1, No. 134, Wenxian Road, Nanhu District",314050,China,Zhejiang,Jiaxing,http://www.bovismt.cn/,https://bovismt.en.alibaba.com
"Hangzhou Neoden Technology Co., Ltd.",Ms. Haimi Lin,Sales manager,86-571-26266219,15988492609,,"Building 3.No.8-2, Keji Avenue, Yuhang District",,China,Zhejiang,Hangzhou,http://neodensmt.com,https://neodensmt.en.alibaba.com
"Xiamen Frand Intelligent Equipment Co., Ltd.",Gavin yuan,,+86-592-6262765,+8618860022858,+86-592-6262765,,,China,,,http://www.pcccd.com,https://fldznsb.en.alibaba.com
"Jinan ND Precision CNC Co., Ltd.",Ms. Fannie Wang,Business Manager,86-531-5559 6188,18560139370,,"Room 1501, A Build, Lushang Shengjing Square, Lixia District, Jinan CITY, Shandong PR , CHINA",250000,China,Shandong,Jinan,,
"Wuxi KAYO Automation Equipment Co., Ltd.",Ms. Jenny Wang,Sales Manager,86-510-85598686,15811141631,86-510-85598686,"#26-1 Nongkedui Road, Hudai Town, Binhu District,",214161,China,Jiangsu,Wuxi City,http://en.kayosmt.com,https://kayosmt.en.alibaba.com
"Shenzhen Zhuomao Technology Co., Ltd.",Ms. Rita Li,sales manager,86-755-29929955,8613434481030,86-755-29929953,"10 Building, Huaide Cuihai Industrial Park, Fuyong Street, Bao'an, Shenzhen, China",518103,China,Guangdong,shenzhen,http://www.seamarkzm.com,https://zhuomao.en.alibaba.com
"Shenzhen Honreal Technology Co., Ltd.",Ms. monica wang,,86-0755-23020376,8613715227009,86-0755-23306782,"15, Shangnan Hongma Road, Shajing Street, Bao'an Distric",,China,Guangdong,Shenzhen,http://www.szhonreal.com,https://hrsmt.en.alibaba.com
"Shenzhen Nanyue Panlong Technology Co., Ltd.",Mr. Gus Yang,CEO,86-0755-27784087,13662228053,,"3rd Floor, 225 Wanfeng Middle Road",518104,China,Guangdong,shenzhen,http://nypl-smt.com,https://smt-nypl.en.alibaba.com
"Singsun Electronic Science & Tech Co.,ltd",Mr. William Huang,Sales Manager,0086-0755-27586863,0086 13823383979,,"4th Floor,building 4,jinqiao Industrial Zone, 153 Hongtian Road,shajing Jiedao,baoan District",,China,Guangdong,Shenzhen,http://ensingsun.com/,https://szxingxun.en.alibaba.com
"Shenzhen Zens Electronic Co., Ltd.",Ms. Edwina Z,General Manager,86-0755-23720566-8006,15873431748,86-0755-23720622,"th Floor,2nd building,Hengchangrong High-tech Industrial Park, NO.128 Shangnan East Road,Shajing Street,Baoan District,Shenzhen City,Guangdong Province,China.",518125,China,Guangdong,Shenzhen,http://cnzens.en.alibaba.com,https://zse.en.alibaba.com
"Shenzhen ZENS Electronics Co., Ltd.",Ms. Edwina Zhou,Sales Manager,00-86-15873431748,0086-15873431748,,Shajing Street,518125,China,Guangdong,Shenzhen,http://cnzens.en.alibaba.com,https://cnzens.en.alibaba.com
"Wenzhou Yingxing Import & Export Co., Ltd.",Mr. Jim Jiang,General manager,86-577-89882950,13567764652,,"#131,Yunlong Street,Feiyun Road,Ruian,Wenzhou City,Zhejiang Province China",325200,China,Zhejiang,Wenzhou,http://www.zjyingxing.com,https://wzyxing.en.alibaba.com
"Shenzhen Jing Cheng Zhi Yuan Technology Co., Limited",Ms. Sophy Luo,Sales manager,86-755-27363905,86-13823675048,86-755-27363905,"88#, Nan Ling Road, Sha Jing, Bao An",518103,China,Guangdong,SHENZHEN,http://www.goldlandsmt.com,https://goldlandsmt.en.alibaba.com
"Dongguan Yiren Industry Co., Ltd.",Ms. Cherry Zhang,Sales Manager,86-769-88923508,18925819310,86-769-85705381,"DaBanDi Industrial Zone, DaNing Village, Humen Town, Dongguan City, Guangdong Province. China",523925,China,Guangdong,Dongguan,http://www.dispensing.cc,https://dispenser.en.alibaba.com
"Shenzhen Eton Automation Equipment Co., Ltd.",Ms. Linda He,Manager,86-755-27311822,0086 13670197725,86-755-29502066,"The 44th. building,the 5th. Cuigang industrial area,Huaide community,Fuyong",518103,China,Guangdong,Shenzhen,http://www.eton-mounter.com,https://etonsmt.en.alibaba.com
"Shijiazhuang Dloyals Science & Technology Co., Ltd.",Ms. Coco Liu,Sales Director,86-311-82193309,008613821469228,86-311-85273817,"Nurenshijie2806, No. 69 Minzu Road, Xinhua District",050000,China,Hubei,Shijiazhuang,http://dloyals.com,https://dloyals.en.alibaba.com
