company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"Linhai Qisheng Rubber&Plastic Co., Ltd.",Ms. susan chen,sale manager,86-576-85080556,86-13575876950,86-576-85930482,"Ye'ao Village, Youxi Town, Linhai City, Zhejiang Province. China",317025,China,Zhejiang,Linhai,http://www.zjqisheng.com,http://chinaqs.en.alibaba.com/contactinfo.html
"Dongguan Mingyi Hardware Products Co., Ltd.",Mr. Xu Victor,sales manager,86-769-26621902,008618925551175,86-769-83562706,"Building A, No. 18, North 7th Street, Qiaodong Road, Dongjiang Village, Qiaotou Town",523531,China,Guangdong,dongguan,https://www.diecastingtech.com,http://diecastingtech.en.alibaba.com/contactinfo.html
Ningbo Fenghua Gogo Automatic Trading Company Limited,Ms. E Z,General manager,0086-574-88552150,0086-15257460889,0086-574-88552150,"No,.160-2,Jiangning road,Jiangkou Town,Fenghua",315500,China,Zhejiang,ningbo,http://www.atcgogo.com,http://atcgogo.en.alibaba.com/contactinfo.html
"Shenzhen Good Faith Industrial Co., Ltd.",Ms. Jenny Chen,Sales manager,86-0755-27340162,0086 13926586881,86-0755-28395363,"Dong shan team factory,Gushu village,Xixiang Town,Baoan District,Shenzhen China.",5181000,China,Guangdong,shenzhen,http://www.icaniam.com,http://portableclean.en.alibaba.com/contactinfo.html
"Kunshan Baichuan Precision Parts Co., Ltd.",Mr. Xiyang Xia,General Manager,86-0512-86898003,86-13812809181,86-0512-50123348,No. 2148 Shuixiu Road,215300,China,Jiangsu,Kunshan City,http://www.aluminumparts.cn,http://partstailor.en.alibaba.com/contactinfo.html
"Hangzhou Xunda Model Co., Ltd.",Mr. Jack Hu,Sales Director,86-571-88945460,86-18657149387,86-571-88941400,"Liangzhu Village,Liangzhu Street,Yuhang District",311113,China,Zhejiang,Hangzhou,http://www.hzxunda.com.cn,http://rapidprototype.en.alibaba.com/contactinfo.html
"Ningbo Elomon Machinery Manufacturing Co., Ltd.",Ms. Vicky Zhong,,86-0574-15990537367,15990537367,,"No. 44, Baizhang East Road, Yinzhou District,",315000,China,Zhejiang,Ningbo,,http://elomon.en.alibaba.com/contactinfo.html
Danyang City Danbei Town Huoqilin Auto Accessories Factory,Ms. Q R,Sales,86-0511-13376169629,13376169629,,Beside S308 Danbei Town,212316,China,Jiangsu,Danyang,http://huoqilinauto.en.alibaba.com/,http://huoqilinauto.en.alibaba.com/contactinfo.html
"Guangzhou Jinyu Auto Parts Co., Ltd.",Mr. JERRY LUO,manager,86-20-87791732,13570396618,86-20-87649657,"Room 601 & 606, 6th Floor, Yinshan Business Center, No.481 South of Baiyun Avenue, Baiyun District, Guangzhou",,China,Guangdong,guangzhou,http://www.asia-autoparts.com,http://kingsteel.en.alibaba.com/contactinfo.html
"Chongqing Yinge Trading Co., Ltd.",Mr. Mike Wang,,86-23-61212301,13983373086,86-23-61212300,"RM. 29-6 JUSUIYUAN BUILDING,NO.35 YANGHE ZHONG ROAD, JIANGBEI DISTRICT, CHONGQING, CHINA.",,China,Chongqing,Chongqing,http://apw.en.alibaba.com/,http://apw.en.alibaba.com/contactinfo.html
"Shanghai Dogood Industry Co., Ltd.",Mr. Keyi Li,Sales Director,86-021-50175062,8618616280946,,"380 MinMin rd. Room 22, Shanghai, China",200000,China,Shanghai,Shanghai,http://www.kobramax.cn,http://renaultdg.en.alibaba.com/contactinfo.html
"Shenzhen Bergek Technology Co., Ltd.",Ms. Nico Yang,Director,86-0755-23000316,18028780016,,"Building A17, 101, West Industrial Park, Tantou Community, Songgang Street, Baoan District, Shenzhen City, Guangdong Province, China",518105,China,Guangdong,shenzhen,http://www.szbergek.com,http://bergek.en.alibaba.com/contactinfo.html
