company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"Huaihai Wancheng Commerce Co., Ltd.",Mr. Gary Wang,Sales & Marketing Manager,,13813480124,,"Huaihai-Zongshen Industrial Park, Economy and Technology Development Zone",221000,China,Jiangsu,Xuzhou,http://www.huaihaiglobal.com,http://huaihaiglobal.en.alibaba.com/contactinfo.html
"Zhejiang Shenbang Machinery Co., Ltd.",Mr. Paul Guo,manager,0086-577-65130885,0086-18968860650,0086-577-65130885,"Yunjiang Standard Factory,Nanbin Street,Ruian,Zhejiang,China",325207,China,Zhejiang,Rui'an,http://www.cnzjsb.com,http://zjsbjx.en.alibaba.com/contactinfo.html
"Shandong Everbright Foreign Trade Co., Ltd.",Ms. Anne Li,Export Manager,86-534-2107072,18162020800,86-534-5082009,"5th Floor , Dezheng Mansion ,Dezhou City , Shandong Province ,China",25026,China,Shandong,Dezhou,http://chinaeverbright.en.alibaba.com,http://chinaeverbright.en.alibaba.com/contactinfo.html
"Wuhan AGY Machinery Equipment Co., Ltd.",Mr. James Gui,General Manager,86-027-13129963598,008613129963598,,"Room 06,08/F,Unit 2,Shenglong Plaza,Wuhan Economic&Technology Development Zone",430056,China,Hubei,wuhan,http://agy.en.alibaba.com,http://agy.en.alibaba.com/contactinfo.html
"Dezhou Yijie Import And Export Co., Ltd.",Ms. Alexandra Zhu,Director,0086-534-18660193701,008618263001601,,"No.36, Jinghua Road, Economic Development Zone",253000,China,Shandong,Dezhou City,,http://dezhouyijie.en.alibaba.com/contactinfo.html
"Qinghe County Zhiteng Auto Parts Co., Ltd.",Ms. lvy zhao,,86-0319-13503399397,86-13503399397,,west changjianstreet,,China,Hebei,qinghe,,http://qhzt.en.alibaba.com/contactinfo.html
"Shandong Gaia New Energy Tech. Co., Ltd.",Mr. Shaoqing Cheng,General Manager,86-534-2755175,13953485199,86-534-2755175,HuBinnan Raod,253000,China,Shandong,Dezhou,http://www.gaia-solar.com,http://gaiasolar.en.alibaba.com/contactinfo.html
"Linyi Xinqiu Trading Co., Ltd.",Ms. Lilian Lu,,0086-539-7370822,15224391750,,"Room 2403, Building 2, Hongru International Cultural Center, Intersection of Shuangling Road and Langyawang Road, Lanshan District",276000,China,Shandong,Linyi,,http://sdxinqiu.en.alibaba.com/contactinfo.html
"Jinan Mingfeng Auto Parts Co., Ltd.",Mr. mingfeng autoparts,sales manager,0086-0531-58625677,008617854121567,,huaiyin district,250000,China,Shandong,jinan,http://www.cnjkautoparts.com,http://mfautoparts.en.alibaba.com/contactinfo.html
"Guangdong Yatian Industrial Co., Ltd.",Mr. David Zhang,Sales,86-20-87671260,86-13632100506,86-20-87671455-610,"Taishi Industrial Zone, #81, Shinan Road, Nansha District",510000,China,Guangdong,Guangzhou,http://www.gdyatian.com,http://gdyatian.en.alibaba.com/contactinfo.html
"Liaoning Qiaolin Foreign Trade Co., Ltd.",,,,,,,,China,,,,http://beijingfotontruck.en.alibaba.com/contactinfo.html
"Wuxi E&C Heatexchanger Co., Ltd.",Ms. Monica Pei,Sales Manager,0086-510-85998001,0086-18100659688,0086-510-85998006,Binhu District,214161,China,Jiangsu,wuxi,http://www.ec-heatexchanger.com/,http://echeatexchanger.en.alibaba.com/contactinfo.html
"Xuzhou Furinkazan Import & Export Trade Co., Ltd.",Mr. Livia Zong,salesmanager,0086-516-83369277,,,quanshan,22,China,Jiangsu,xuzhou,,http://xzflhs.en.alibaba.com/contactinfo.html
"Zhengzhou Lianke Machinery Manufacture Co., Ltd.",Mr. shuaifeng Yang,,86-371-85617977,8615517178096,,Xiaobei industrial park,451200,China,Henan,zhengzhou,http://www.liankemachine.com,http://lkjx.en.alibaba.com/contactinfo.html
"Qingdao Tianluping Metal Products Co., Ltd.",Mr. Eric Lu,General Manager,86-532-86811906,86 18661907627,86-532-86811906,"No. 52, Liupanshan Road, Huangdao, Qingdao, Shandong, China",266555,China,Shandong,qingdao,http://www.tlpcasting.com/,http://casting-china.en.alibaba.com/contactinfo.html
"Wuxi Sinotech Import & Export Co., Ltd.",Ms. Joe Cao,General Manager,86-510-66887090,008618921348626,86-510-66887090,NEW CENTURY INDUSTRY PARK,,China,Jiangsu,WUXI,https://globalsinotech.en.alibaba.com,http://globalsinotech.en.alibaba.com/contactinfo.html
"Dezhou Lichi Import & Export Co., Ltd.",Ms. Cliff Zhang,G. Manager,86-534-8625669,18266192726,86-534-8625669,"No. 1951, Yingbin Road, Lingcheng District",253500,China,Shandong,Dezhou,http://www.gfulu.com,http://gfulu.en.alibaba.com/contactinfo.html
"Qingzhi Car Parts Co., Ltd.",Ms. Suzy Gui,Sales manager,0086-553-5881322,18055380552,0086-553-5881322,NANXIANG WANSHANG,241006,China,Anhui,Wuhu,http://www.qzcarparts.en.alibaba.com,http://qzcarparts.en.alibaba.com/contactinfo.html
"Henan Robeta Import & Export Trade Co., Ltd.",Mr. Vincent Li,Manager,0086-371-86113266,0086-13526400256,0086-371-86113266,"NO.2 HANGHAIEAST ROAD,GUANCHENG DISTRICT,ZHENGZHOU,HENAN,CHINA",450000,China,Henan,zhengzhou,http://robeta.en.alibaba.com,http://robeta.en.alibaba.com/contactinfo.html
"Zhengzhou Dongfeng Mid-South Enterprise Co., Ltd.",Ms. Ray Yan,Sales manager,0086-371-88883954,0086-13837172596,,"No. 28, Dongfeng Road",450000,China,Henan,Zhengzhou city,http://www.cn-dfm.com,http://cn-dfm.en.alibaba.com/contactinfo.html
Wuxi Jialong Heat Exchanger Stock Company Ltd.,Ms. Janice Qian,sales,86-0510-85990160,13906178716,86-0510-85990150,"No.5,Xiaguang Road,Biomedicine Industrial Area, Mashan,Binhu District,Wuxi City,214091,P.R.China",214000,China,Jiangsu,wuxi city,http://www.wxjl.cn,http://wxjl.en.alibaba.com/contactinfo.html
"Henan Lofty Machinery Equipment Co., Ltd.",Mr. Bill Cui,General Manager,86-0371-18569921963,86-18569921963,,"1622, Block B, Zhengshanghui Center, Southwest Corner, Intersection of Zhongzhou Avenue and Orchard Road, Guancheng District, Zhengzhou City, Henan Province",450000,China,Henan,Zhengzhou,https://loftyfoodtrailer.en.alibaba.com,http://loftyfoodtrailer.en.alibaba.com/contactinfo.html
"Chongqing Forward Commercial And Trading Co., Ltd.",Ms. Cathy Hu,,86-023-88310024,19923808386,86-023-88310024,"No.121-2, Shixin Road, Jiulongpo District",400039,China,,Chongqing,http://www.forward666.com,http://fwdsm.en.alibaba.com/contactinfo.html
"Taizhou Faman Import & Export Co., Ltd.",Jason Farman,,,,,,,China,,,http://www.farmanparts.com.cn,http://farmanparts.en.alibaba.com/contactinfo.html
"Sichuan Minghong Vehicle Manufacturing Co., Ltd.",Ms. Vivian Zhou,General Manager,86-0825-5821776,8618780416753,86-0825-5819117,"Mingxing Road 100,Chuanshan Area,.",629000,China,Sichuan,Suining,http://www.minghong-sviwo.com,http://minghongmotors.en.alibaba.com/contactinfo.html
"Hubei Miou Special Automobile Technology Co., Ltd.",Ms. Sara MIOU,General Manager,86-0719-8319942,86 13872781686,,"No3,South Renmin Road",442000,China,Hubei,Shiyan,http://www.mioutruck.com,http://mioutruck.en.alibaba.com/contactinfo.html
"Qinghe Deying Auto Parts Co., Ltd.",Ms. Ayan Luan,,0086-0319-8185001,0086-18531907977,,Qinghe,,China,Hebei,Xingtai,http://www.deyingparts.com,http://deyingparts.en.alibaba.com/contactinfo.html
"Wuxi Everbright Co., Ltd.",Mr. charley peng,General manager,0086-510-88210511,0086-13912359280,0086-510-88226532,"No. 20, Dongting (M) road, wuxi, jiangsu, china",214101,China,Jiangsu,Wuxi,http://wuxieverbright.com,http://bright-cn.en.alibaba.com/contactinfo.html
"China FAW Group Import & Export Co., Ltd.",Mr. tianli Liu,,086-0431-81121111,,,"No.288 ,tianfu road, jingyue district",130011,China,Jilin,changchun,,http://fawiec.en.alibaba.com/contactinfo.html
Jinan Bestar Inc.,Mr. Tommy Ji,MANAGING DIRECTOR,86-531-58661443,,86-531-86964933,"No.29,Luoyuan Street",250014,China,Shandong,Jinan,http://www.bestarinc.cn,http://bestarinc.en.alibaba.com/contactinfo.html
Hubei Qixing Truck Cabin Manufacturing Limited Company,Mr. QI XING,General Manager,0086-0722-3260735,,0086-0722-3262757,"No.2,Lieshan Ave, Suizhou,Hubei Province,P.R.China",441300,China,Hubei,Suizhou,http://www.qixingauto.com,http://qixingauto.en.alibaba.com/contactinfo.html
