company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"Guangdong Yatian Industrial Co., Ltd.",Mr. David Zhang,Sales,86-20-87671260,86-13632100506,86-20-87671455-610,"Taishi Industrial Zone, #81, Shinan Road, Nansha District",510000,China,Guangdong,Guangzhou,http://www.gdyatian.com,http://gdyatian.en.alibaba.com/contactinfo.html
"Shenzhen Keyuantai Industrial Co., Ltd.",Mr. Benny Shen,sales manager,0086-755-29909939-805,0086 18938995743,0086-755-23729189,"4 Floor,Building A1, XinBaoJi Industrial Park,Bao An District Xixiang, Bao'An District Shenzhen",518102,China,Guangdong,ShenZhen,http://www.mykyt.com/en/,http://szkyt.en.alibaba.com/contactinfo.html
Shenzhen Bosdow Electronic Company Limited,Mr. Bobby L,Manager,86-755-13714809228,,,Longhua new district,518100,China,Guangdong,Shenzhen,http://www.bosdow.com,http://bosdow.en.alibaba.com/contactinfo.html
"Hubei Xindongri Special Purpose Vehicle Co., Ltd.",Mr. XDR Truck,Sales Manager,0086-27-84668969,8613517289106,0086-27-84668968,"Room 1314-1315, Block B, Haitian Square, No. 698, Hanyang Avenue, Hanyang district, , Wuhan, Hubei,China",430051,China,Hubei,Wuhan,http://xdrtruck.en.alibaba.com,http://xdrtruck.en.alibaba.com/contactinfo.html
"Shanghai Lannmarker Industrial Co., Ltd.",Mr. Michael Zhang,Sales Director,86-21-69799276,13651663654,,"Floor 2, Unit A2, No.1536 Xinfu Middle Road, Huaxin Town, Qingpu District",201708,China,Shanghai,Shanghai,http://www.lannmarker.com,http://lannmarker.en.alibaba.com/contactinfo.html
"Hangzhou Tonny Electric & Tools Co., Ltd.",Mr. Robert Tang,,86-571-88994348,,86-571-88994349,"1302, No.3 Building Changdi Huoju Masion, Wensan Road.",310012,China,Zhejiang,Hangzhou,http://www.china-tonytool.com,http://tonytool.en.alibaba.com/contactinfo.html
"Wuhan CLW Group Truck Trade Co., Ltd.",Ms. Mandy Janet,Director,0086-722-7026888,15588888989,,JiaoTong Road,441300,China,Hubei,SuiZhou,http://www.clwgrouptruck.com,http://clwgroup.en.alibaba.com/contactinfo.html
"Shenzhen Champion Industry Co., Ltd.",Mr. jack sun,,0086-0755-89785881,0086 13728675970,0086-755-89785876,"No.13 Longqin Road,Shahu Denizen Committee,Pingshan Street",518118,China,Guangdong,Shenzhen,http://chinawirelesscharger.com,http://champion.en.alibaba.com/contactinfo.html
"Wenzhou Selo Technology Co., Ltd.",Ms. Ada Lee,Export Director,86-577-85511506,,86-577-8613 6225,Longwan Ouhai District,325000,China,Zhejiang,Wenzhou,http://www.wzselo.com,http://wzselo.en.alibaba.com/contactinfo.html
"Shenzhen Sanhezhong Technology Co., Ltd.",Mr. Abner Huang,sales manager,86- 0755-28586093,13686450155,,"Rom 1603, 4 building, Laoxucun mansion,Pingji Road,Longgang district",518000,China,Guangdong,shenzhen,http://www.chinam2b.com,http://chinam2b.en.alibaba.com/contactinfo.html
"Shiyan Yunlihong Industrial & Trade Co., Ltd.",Ms. Yunlihong Co.,Director,86-719-8627045,86-13907280491,86-719-8243377,"No.36, Jingtan Road, Shiyan City, China.",442000,China,Hubei,Shiyan,http://www.hbylh.com,http://ylh.en.alibaba.com/contactinfo.html
"Jiangmen Yudu Tech Co., Ltd.",Mr. Yang Kevin,,0086-750-3083885,0086-18823082950,,"Jinle Road No.3,Pengjiang Zone",,China,Guangdong,Jiangmen,http://www.yudutech.com,http://yudutech.en.alibaba.com/contactinfo.html
"Shenzhen Ebattery Technology Co., Ltd.",Ms. cindy Li,manager,086-0755-27808897,18138257650,,"Jinda Buiding.3M, ZhongXin Road,Xin'er District,Xinqiao,Bao'an,Shenzhen",518104,China,Guangdong,Shenzhen,,http://ebattery.en.alibaba.com/contactinfo.html
"Guangzhou Maya Medical Equipment Co., Ltd.",Ms. Carina Xiang,,86-20-39160381,86-18998470236,86-20-39154381,"Room 102, First floor, No. 2 Building, Bohou Industrial Park, No. 773 Xingnan Avenue, Nancun Town, Panyu District",511442,China,Guangdong,Guangzhou,http://www.gzmayamed.com,http://mayamed.en.alibaba.com/contactinfo.html
"Shenzhen Inloom Technology Co., Ltd.",Ms. Alice Yang,Sales manager,86-755-84728277,13316807590,86-755-82789607,"Rm.910,Zhonglv Building,No.3023 The People of South Rd.,Luohu District,Shenzhen",518001,China,Guangdong,Shenzhen,http://www.inloompow.com,http://inloom.en.alibaba.com/contactinfo.html
Sunny Medical Equipment Limited,Ms. Jaemin Zhao,manager,86-020-37759951,15802011816,,"Rm1208, Jinying Building, No.316, Huanshi Middle Rd, Xiaobei, Yuexiu",510060,China,Guangdong,Guangzhou,http://www.sunnymedgz.com,http://sunnymed.en.alibaba.com/contactinfo.html
