company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"Shandong Fudeng Automobile Co., Ltd.",Ms. Allison Zhang,,0086-0531 -68659682,008618560217989,0086-0531 -68659682,"Room 1009, Unit 2, No. 6 Building, Dinghao Plaza, No. 44, Industrial South Road, High-Tech Zone",250100,China,Shandong,Jinan,http://www.chinatrailerfactory.com,http://fudengtrailer.en.alibaba.com/contactinfo.html
"Shandong Chengda Auto Sales Co., Ltd.",Mr. Alan Lee,Sale Manager,86-531-69985132,86-18253112968,,"Shizhong ,Inzon International 1603",250000,China,Shandong,Jinan,http://cdtruck.com,http://cdtrucks.en.alibaba.com/contactinfo.html
"China National Heavy Duty Truck Group Jinan Special Automobile Co., Ltd.",Ms. Lisa Liu,,86-531-83270567,,,No. 17668 Panwang road,250220,China,Shandong,Jinan,http://www.sinotruck.cn.com,http://sinotrukexport.en.alibaba.com/contactinfo.html
"Henan CIMC Huayuan Vehicle Co., Ltd.",,,,,,,,China,,,http://www.hnhy988.com,http://hnzjhycl.en.alibaba.com/contactinfo.html
"Shandong Chengda Auto Sales Co., Ltd.",Ms. Alice Ji,sales manager,86-531-69985133,182 5311 2969,86-531-69985133,No. 66. Sunhe East Street,250000,China,Shandong,Jinan,http://www.scdtrailer.com,http://chengdaauto.en.alibaba.com/contactinfo.html
"Shandong Yuncheng Jinda Trailer Manufacturing Co., Ltd.",Ms. Joy Wang,Sales Director,0086-532-84673324,17762000549,0086-532-84673324,"Yangzhuangji Town Industrial Park, Yuncheng County",274700,China,Shandong,Heze,http://www.jindatrailer.com,http://jindatrailer.en.alibaba.com/contactinfo.html
"Zhumadian CIMC Huajun Vehicle Co., Ltd.",Mr. Duke Hu,Manager of Overseas Dept,86-396-3810953,86-13683898235,86-396-3810953,"Middle Area of Xuesong Road, Zhumadian city, Henan Province, China.",463000,China,Henan,Zhumadian,http://www.hjcl.com,http://hjcl.en.alibaba.com/contactinfo.html
"Hangzhou Gunan Technology Co., Ltd.",Mr. Kent Du,General Manager,0086-571-88770205,86-18069773227,0086-571-88770205,"Rm11-10,Building11,Shulin Yuan,Liangzhu Street,Yuhang District",31113,China,Zhejiang,Hangzhou,http://www.gunantech.com,http://gunan.en.alibaba.com/contactinfo.html
"Enjoin (Shanghai) Industrial Co., Ltd.",Ms. Sophia Yu,Manager,86-21-60955129,13127727918,,Hexuan Road,201800,China,Shanghai,shanghai,http://www.enjoinparts.com,http://enjoin.en.alibaba.com/contactinfo.html
"Shandong Yuhang Automobile Co., Ltd.",Mr. Gavin Liu,,86-531-86093006,13505471979,86-531-860093007,"Building 4, Room 1102, High-tech Zone, Jinan city, Shandong province",250000,China,Shandong,Jinan,http://www.yuhangauto.com,http://sdyuhang.en.alibaba.com/contactinfo.html
"Henan Beitejia Machinery Manufacturing Co., Ltd.",Ms. Alice Yang,Sale,86-0371-63825512,18637425673,,No.72 Nongye Road,450000,China,Henan,Zhengzhou,http://www.castingforging.com,http://bestengineparts.en.alibaba.com/contactinfo.html
"Qingdao Ablson Machinery Co., Ltd.",Mr. Ablson Zhang,Manager,0086-532-87207585,0086-13964212561,0086-532-87208735,"No.380 Aomen Road, Jiaozhou",266300,China,Shandong,Qingdao,http://www.chinacombineparts.com,http://ablson.en.alibaba.com/contactinfo.html
"Zibo Hande Industries Co., Ltd.",Mr. Kris Han,,0086-533-4590445,,,No.179 longshan road west district boshan,255200,China,Shandong,zibo,http://www.hande.co,http://hande-corp.en.alibaba.com/contactinfo.html
"Laizhou Ruihao Machinery Co., Ltd.",Ms. Helena Qu,Manager,0086--535-2713159,0086-13562516557,0086-535-2713158,"Yuhai west road, Economic development zone",261400,China,Shandong,Laizhou,http://ruihao-machinery.com,http://ruihaomachinery.en.alibaba.com/contactinfo.html
"Zhejiang Oklead Auto Parts Co., Ltd.",Ms. Lily You,Sales Manager,86-577-65522754,13958884608,86-577-65530130,"NO. 85 DENGYUN ROAD, NORTH LUOFENG IND. ZONE",325200,China,Zhejiang,Ruian,http://www.oklead.cn,http://oklock.en.alibaba.com/contactinfo.html
"Ningbo Snowaves Mechanical Equipment Co., Ltd.",Mr. Leo Luo,Manager,86-574-87660366,8613806637670,86-574-87660344,"Meiyin Building 803-804,Xiangye Road NO.128,Zhenhai District",315202,China,Zhejiang,Ningbo,http://www.nbxinrong.com,http://nbxinrong.en.alibaba.com/contactinfo.html
"Shandong Shuangjun Trading Co., Ltd.",Mr. Jason Ma,Sales Manager,0086-0531-87105512,008615806412923,,Huaiyin District,250000,China,Shandong,Jinan,,http://sdshuangjun.en.alibaba.com/contactinfo.html
"Jiangsu Deeper International Co., Ltd.",Mr. jack Yang,,86-025-51180501,,,ROOM 1206 TIANHENG BUILDING 58 QINHUAI ROAD JIANGNING DISTRICT,211100,China,Jiangsu,Nanjing,http://deepermfg.en.alibaba.com,http://deepermfg.en.alibaba.com/contactinfo.html
"Hebei Lruijin Auto Parts Co., Ltd.",Ms. Sylvia Sun,,86-0317-13131758172,13131758172,,Chengyuanlu,,China,Hebei,Hejian,https://hbyrj.en.alibaba.com/,http://hbyrj.en.alibaba.com/contactinfo.html
"Gambo Autoparts (Zhenjiang) Co., Ltd.",Ms. Jean Zhang,,86-574-88032971,,,#666 Taikang Road,315000,China,Zhejiang,Ningbo,http://www.gamboautoparts.com,http://gamboautoparts.en.alibaba.com/contactinfo.html
"Zhenjiang SWT Metal Product Co., Ltd.",Mr. victor zhu,sales manager,0086-511-83329222,13952800861,0086-511-83329111,xinfeng Ind.zone. zhenjiang city.jiangsu province.china,212141,China,Jiangsu,zhenjiang,http://www.swttrailer.com,http://zjswt.en.alibaba.com/contactinfo.html
"Henan Changtong High-Tech Co., Ltd.",Mr. Leo Zhang,Export Manager,86-371-60328600,18937156226,86-371-64136538,Industrial Demonstration Zone,451200,China,Henan,Gongyi,http://www.chinachangtong.com,http://chinachangtong.en.alibaba.com/contactinfo.html
"Qingdao Tyrace Automobile Co., Ltd.",Mr. Alan Zhao,Export Director,86-532-88753297,13573296046,86-532-88753297,"Room 701, No.11 Lehuan Road, Qingdao",266071,China,Shandong,Qingdao,http://www.tyrace.com,http://tyrace.en.alibaba.com/contactinfo.html
Guangzhou Leadway Electronic Technology Ltd.,Ms. Alin Nie,Marketing Manager,0086-020-34216985,0086 13794413964,0086-020-34216985,"Room709, A3 Building Vanke Fortune Way II, Road Tongfuxi No.169-209 Haizhu District Guangzhou China",510135,China,Guangdong,Guangzhou city,https://gzleadway.en.alibaba.com,http://gzleadway.en.alibaba.com/contactinfo.html
"Taiyuan Simis Investment Casting Co., Ltd.",Mr. Ruoshui Zhang,sales manager,86-351-4063773,0086 13934525413,86-351-4063773,"8th floor,Block A of Ruijie Tech Mansion,Hi-Tech Industry Development Zone,Taiyuan City, Shanxi Province, China",030006,China,Shanxi,Taiyuan,http://simis.en.alibaba.com,http://simis.en.alibaba.com/contactinfo.html
"Changzhou Lefa Industry & Trade Co., Ltd.",Ms. Guoyan Pan,Manager,86-519-88166585,13961239332,86-519-88166595,"NO.2 Honyang Road, Tianning District",213000,China,Jiangsu,Changzhou,http://www.lefa-cz.com,http://autolefa.en.alibaba.com/contactinfo.html
"Yucheng Hongri Machinery Co., Ltd.",Ms. Lyna Zhang,Sales Director,86-0534-2123000,15165936190,86-0534-2123000,"Shiliwang Industrial Park,Yucheng",251200,China,Shandong,Yucheng,http://www.chinahongri.cn,http://yuchenghongri.en.alibaba.com/contactinfo.html
"Hangzhou HolyCore Composite Material Co., Ltd.",Mr. Skyler Lee,Overseas Dept. Sales Manager,86-571-86203579,,86-571-88651428,"No.2 Huayi Road,JinxingIndustrial Zone",311121,China,Zhejiang,Hangzhou,http://holycore.cn,http://holycore.en.alibaba.com/contactinfo.html
"China Machinery Engineering Suzhou Co., Ltd.",Mr. Korin Tian,Mgr,86-512-65833198,,86-512-65833191,659 JinMen Road,215004,China,Jiangsu,Suzhou,http://www.cmec.com,http://cmebrakes.en.alibaba.com/contactinfo.html
"Shandong Shuipo Welding & Cutting Equipment Manufacture Co., Ltd.",Ms. Shuipo Shandong,Translator & Interpreter,86-537-7609000,18660727168,86-537-7609000,"Quanpu Industrial Zone, Liangshan",272613,China,Shandong,Jining,http://www.shuipo.com,http://shuipo.en.alibaba.com/contactinfo.html
"Ningbo Yinzhou Towing Auto Parts Co., Ltd.",Ms. NEPTUNE FANG,SALES MANAGER,86-574-56633011,86 18312969451,86-574-56633011,SHOUNAN STREET,315100,China,Zhejiang,NINGBO,,http://towingautoparts.en.alibaba.com/contactinfo.html
Ningbo Hengda Die-Casting Lock Factory,Ms. Rose Rong,Sales Manager,86-574-83010872,13566350550,86-574-88371176,Dongqian Lake Industrial District,315121,China,Zhejiang,Ningbo,http://www.hengda-cn.net,http://hengda-cn.en.alibaba.com/contactinfo.html
"Guangzhou Grand Auto Parts Co., Ltd.",Ms. Hilda Huang,sales manager,86-20-37087335,13929573801,86-20-87011471,"5-2 Kemulang South Rd,Tianhe District",,China,Guangdong,Guangzhou,http://www.gzgrand.com/en/,http://gzgrand.en.alibaba.com/contactinfo.html
"Ningbo Sunfine Imp. & Exp. Co., Ltd.",Ms. Stella Shen,General Manager,86-574-28859966,13989315998,86-574-28859898,"RM516, Aiyimei Building, NO.756, Tiantong South Road, Yinzhou District",315410,China,Zhejiang,Ningbo,https://www.sunfinemarine.com,http://sunfinecn.en.alibaba.com/contactinfo.html
"Ningbo Jingyi Machinery Manufacturing Co., Ltd.",Mr. Gonglei Chen,,86-574-86052088,15857491868,86-574-86050818,"No.101, Xuedoushan Road, Daxie, Beilun",315807,China,Zhejiang,NingBo,http://www.nbjingyi.com/,http://nb-jy.en.alibaba.com/contactinfo.html
"Longyan Michael Machinery Co., Ltd.",Mr. Michael Lin,Manager,86-597-5280830,86-18659759370,86-597-5280830,"No.6,Shuangyang Rd.,Xinluo District",364000,China,Fujian,Longyan,http://www.mkmachinery.ltd,http://michaelmachinery.en.alibaba.com/contactinfo.html
"Wotech Industrial Co., Ltd.",Ms. Grace Guo,Sales Manager,86-532-88996981 55576809 55576819,86-18653256812,86-532-88966781,"Art&Technology Space A-804,Haier Road No.63,Qingdao 266061 China",266061,China,Shandong,qingdao,http://wo-tech.en.alibaba.com,http://wo-tech.en.alibaba.com/contactinfo.html
"Guangzhou Xinranda Electronics Co., Ltd.",Mr. Jack zhang,,0086-18825-096459,18825096459,,"A-BUILDING AQ3043,TIANJIAN PLAZA, NO.283 SHATAIBEI ROAD,BAIYUN DIST",510000,China,Guangdong,GUANGZHOU,http://www.xdbest.com/,http://xinranda.en.alibaba.com/contactinfo.html
"Shaoxing Groupstar Electric Appliance Co., Ltd.",Ms. Joan Lu,Sales Dept. Manager,"86-574-89139821,62499389",86-13505780381,86-574-89139820,"Wufu Industrial Zone,Yiting Town",315400,China,Zhejiang,Yuyao,http://www.china-groupstar.cn,http://ledautolamp.en.alibaba.com/contactinfo.html
"Xiamen Tinmy Industrial Co., Ltd.",Ms. Tinmy Xiamen,,0086-592-5886057,,,"No.108, Hexiang East Road,Siming District,",361010,China,Fujian,Xiamen,http://www.tinmyautoparts.com,http://tinmyautoparts.en.alibaba.com/contactinfo.html
"Hangzhou Sansen Hardware Machinery Co., Ltd.",Ms. Jane Wang,,0086-571-82854699,,,XIAOTANG,,China,Zhejiang,HANGZHOU,http://www.worldsansen.com,http://hzsansen.en.alibaba.com/contactinfo.html
"Ningbo Hongcheng Machinery Co., Ltd.",Mr. kiven fu,General Manager,0086-574-88345598,15888122228,0086-574-88345258,"kongjiatan,hengxi town,yinzhou",315000,China,Zhejiang,Ningbo,http://lostwaxcasting.en.alibaba.com,http://lostwaxcasting.en.alibaba.com/contactinfo.html
"Shandong ZF Truck Trailer Manufacture Co., Ltd.",Mr. ivan sun,GM,86-0531-81766597,15216409270,,sanjianyinyuan,250000,China,Shandong,Jinan,http://www.zw-trailer.com,http://zf-trucktrailer.en.alibaba.com/contactinfo.html
"Qingdao Seger Industrial Co., Ltd.",Mr. Ivan Liang,Sales manager,86-532-68893719,18653233625,86-532-85698271,Tongji industrial Jimo,266075,China,Shandong,Qingdao,http://www.segerindustrial.com,http://segerqd.en.alibaba.com/contactinfo.html
"Hangzhou Elite Machinery Co., Limited",Mr. Elliot Wu,General Manager,86-571-28863367,18868123502,86-571-28863367,"No. 302Room,A Building,West Technology Industrial Park, Yuhang Street",311121,China,Zhejiang,Hangzhou,http://www.eliteql.com,http://eliteql.en.alibaba.com/contactinfo.html
"Zhejiang Hongli (A/LIST) Tools Co., Ltd.",Ms. Shutong Lin,CEO,0086-579-87918853,13705899916,86-579-87918854,"Hardware & Machinery Industry Zone, Tongqin, Wuyi, Zhejiang, China.",321201,China,Zhejiang,Wuyi,http://www.hl99.com,http://hl99.en.alibaba.com/contactinfo.html
"Zhejiang Wuyi Changxin Tools Co., Ltd.",Ms. Maylin Hu,manager,86-579-87989687,15058532288,86-579-87727877,"Jinyanshan Industrial Zone,Quanxi Town,Wuyi County,Zhejiang,China",321200,China,Zhejiang,Wuyi,http://cx66.en.alibaba.com,http://cx66.en.alibaba.com/contactinfo.html
"Shandong Jiyang Machinery Factory Co., Ltd.",Ms. ann lu,,0086-0531-84222390,15806607718,0086-0531-84211081,JiYang huihe town,,China,Shandong,JiNan,http://www.sdjyjxc.com,http://sdjyjxc.en.alibaba.com/contactinfo.html
"Foshan Qi Shi Sports Products Technology Co., Ltd.",,,,,,,,China,,,,http://nstar188.en.alibaba.com/contactinfo.html
"Zhenjiang Solid Vehicle Co., Ltd.",,,,,,,,China,,,http://zjsldcy.en.alibaba.com,http://zjsldcy.en.alibaba.com/contactinfo.html
"Shandong Yuncheng Xinya Trailer Manufacturing Co., Ltd.",Ms. GUO Kara,sales manager,86-0530-18364079600,18364079600,86-0530-6485999,"Yuncheng, Shandong province, China",274717,China,Shandong,yuncheng,http://www.xinyaguache.com,http://xinyatrailer.en.alibaba.com/contactinfo.html
"Autoline International Trading Co., Ltd.",Mr. Kobe Dong,Manager,0086-571-56771679,,0086-571-88219839,"Floor 17, Qiushi Bldg, No.6 Jiaogong Road, Hangzhou, Zhejiang Province. China",310012,China,Zhejiang,Hangzhou,http://www.cn-autoline.com,http://autoline.en.alibaba.com/contactinfo.html
"Guangzhou Maike Auto Accessories Co., Ltd.",Ms. Rain Zhao,,86-020-83483048,86 15902055387,86-020-85171060,"No.708,Guangshan 1st Road ,Tianhe Dist",510520,China,Guangdong,Guangzhou,http://chrome168.en.alibaba.com,http://chrome168.en.alibaba.com/contactinfo.html
"Foshan Kinghorn Machinery Co., Ltd.",Mr. Vincent Chen,Sales Manager,86-757-81208072,,,"No.111, Shibei Development area, Shishan town, Nanhai district",528000,China,Guangdong,Foshan,http://www.kinghorn-cn.cn,http://fskinghorn.en.alibaba.com/contactinfo.html
"Guilin Pengyuan Trading Co., Ltd.",Ms. Echo Xie,,86-773-2828501,13457349771,86-773-2800449,"Intelligent Office Building, No. 38, Zhongshan Middle Road",541001,China,Guangxi,guilin,http://pengda.jspcn.net,http://py-autoparts.en.alibaba.com/contactinfo.html
"Hangzhou Emax Industrial Co., Ltd.",Mr. Peter Zhang,General Manager,86-571-83737375,15057111391,,"No393. Fengsheng Industrial Zone, Guali Town, Xiaoshan, Hangzhou . China .Postal code 311241",311210,China,Zhejiang,Hangzhou,http://www.emaxmetal.com,http://emaxmetal.en.alibaba.com/contactinfo.html
"Liangshan Zhongxing Machinery Manufacture Co., Ltd.",Ms. Sindy Liang,MANAGER,86-537-7338178,13066025328,86-537-7339178,liangshan,272600,China,Shandong,JINING,http://www.lszhongxing.en.alibaba.com,http://lszhongxing.en.alibaba.com/contactinfo.html
"Suzhou Fangtian Industries Co., Ltd.",Mr. Eric Tang,Board Chairman,86-512-65586018,86-13961992333,86-512-65586038,"16/F, Xiehe Building, No. 158, Jinmen Road, Suzhou City, Jiangsu Province. China",215008,China,Jiangsu,Suzhou,http://www.clutchfacing.com,http://fangtian.en.alibaba.com/contactinfo.html
"Qingdao Thinkwell Hardware And Machinery Co., Ltd.",Ms. Victor Ren,sales manager,86-532-66968791,15953297946,86-832-66968790,"No107 Yanyang Road,Chengyang District,Qingdao",266109,China,Shandong,Qingdao,http://thinkwellforging.com,http://chinathinkwell.en.alibaba.com/contactinfo.html
"Ningbo Maoyuan Vehicle Parts Co., Ltd.",Mr. kmf auto,sales manager,86-0574-88218230,86 18395838213,,"No.527 Yunzhen Road, Yunlong Industrail zone.Yinzhou District",315135,China,Zhejiang,NINGBO,http://www.kmforward.com,http://kmforward.en.alibaba.com/contactinfo.html
"Henan Broad Top Metalwork Co., Ltd.",Ms. pei lin,sales manager,86-0371-63658529-805,,86-371-63653521,"NO.2 fengqing road,zhengzhou, china",450000,China,Henan,zheng zhou,http://www.topmetalwork.com/,http://topmetalwork.en.alibaba.com/contactinfo.html
