company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"Zhejiang Hengwei Battery Co., Ltd.",Mr. Phenix Chen,Trade Director,86-573-13606830611,0086-13606830611,86-573-82205889,"No.77 Zhengyang West Road, Youchegang",314018,China,Zhejiang,Jiaxing,http://www.hwbattery.com,http://hwbattery.en.alibaba.com/contactinfo.html
"Shenzhen Pkcell Battery Co., Ltd.",Ms. Irene Sui,Sales Manager,86-755-86670672,86-13974608780,86-755-86670609,"4th Building,Meitai Technology Park,Guanguang Road, Longhua New District,Shenzhen,R.P.China.518110",518110,China,Guangdong,shenzhen,http://pkcell.en.alibaba.com,http://pkcell.en.alibaba.com/contactinfo.html
"Shenzhen Lepower Electronic Co., Ltd.",Mr. Mars Huang,Manager,86-0755-85277150,13978806684,,"5th Floor, C Section, the Second Industrial of TaoXia Village,GaoFeng Community, Dalang Street, LongHua New District,ShenZhen China",518109,China,Guangdong,shenzhen,http://iszlepower.en.alibaba.com,http://iszlepower.en.alibaba.com/contactinfo.html
Shenzhen Jiaxingda Technology Electronics Factory,Mr. James zhuang,general manager,0086-0755-82771748,18823677538,,"2712 new Asia guoli building, huaqiangbei street, futian district",518033,China,Guangdong,shenzhen,http://szjiaxingda.en.alibaba.com,http://szjiaxingda.en.alibaba.com/contactinfo.html
"Guangzhou Koyosonic Power Co., Ltd.",Ms. Katherine W,Export Sales,0086-20-34612480,13560324532,,"RM602, Shikong Building, Shishan Dadao South, Guangzhou, China",511400,China,Guangdong,Guangzhou,http://www.koyosonic.com,http://koyosonic-power.en.alibaba.com/contactinfo.html
Shenzhen Enershare Technology Company Limited,Ms. Crystal LAI,,86-0755-18818688093,18818688093,,Longgang,518000,China,Guangdong,Shenzhen,http://www.enersharepower.com,http://enershare.en.alibaba.com/contactinfo.html
"Shenzhen Retevis Technology Co., Ltd.",Ms. Amanda Li,,86-755-15238307930,15238307930,,"Zhonghaixin Science &Technology Park, No.12 Ganli 6th Road, Buji Street,Longgang District",518112,China,Guangdong,Shenzhen,http://www.retevis.com/,http://retevis.en.alibaba.com/contactinfo.html
"Shenzhen Pkcell Battery Co., Ltd.",Ms. Jasmine Zeng,Sales Manager,86-0755-86670672-8302,86-13974600679,86-0755-86670609,"4th Building,Meitai Technology Park,Guanguang Road,Longhua,",518110,China,Guangdong,Shenzhen,http://pkcell02.en.alibaba.com,http://pkcell02.en.alibaba.com/contactinfo.html
"Hefei Greensun Solar Energy Tech Co., Limited",Ms. Jessica Dai,,86-0551-15855110194,15855110194,,shuluyuan,,China,Anhui,hefei,http://www.greensunpv.com,http://greensunpv.en.alibaba.com/contactinfo.html
"Bluesun Solar Co., Ltd.",Ms. Cici Zhang,,86- 182-55173768,86 18255173768,,O.3 GENERAL ELECTRIC PARK WENSHUI ROAD HEFEI CHINA,,China,Anhui,Hefei,http://bluesunpv.com,http://bluesunsolar.en.alibaba.com/contactinfo.html
"Shenzhen Tianlan Huanqiu Co., Ltd.",Ms. Cherry Xie,General Manager,86-0755-13686806911,13686806911,,"Third Floor, Bldg. B, No. 3, Xinmin Road, Chang'an Town",523000,China,Guangdong,Dongguan,http://www.kingcery.com,http://kingcery.en.alibaba.com/contactinfo.html
"Xinxiang Taihang Jiaxin Electric Tech Co., Ltd.",Mr. Jason Liu,,86-139-37398746,13937398746,86-373-5012553,INNOVAION PARK DEVELOPMENT ZONE XINXIANG CITY,,China,Henan,XINXIANG,http://www.taihangjiaxin.com,http://xxthjx.en.alibaba.com/contactinfo.html
"Dongguan Xin Ji Tong Electronic Technology Co., Ltd.",Vicky XJT,,,,,,,China,,,http://www.energup.cn,http://xnjtg0769.en.alibaba.com/contactinfo.html
"Shenzhen Pknergy Energy Co., Ltd.",Ms. Amanda L,Sales director,86-755-86670672,13823598934,,Guanlan,,China,Guangdong,Shenzhen,http://www.pknergy.com,http://pknergy.en.alibaba.com/contactinfo.html
"IDC Electronic Tech Co., Ltd.",Ms. Cindy Han,sales manager,86-0755-21031479,13692102384,,"Room 9038,huasheng commercial building,dalang street,longhua district",518119,China,Guangdong,shenzhen,http://www.idcbattery.com,http://idcbattery.en.alibaba.com/contactinfo.html
"Hefei Yangtze Solar Power Co., Ltd.",Mr. William Xie,Sales Manager,0086-0551-64437729,0086-15757825601,,No.231 Shufeng Road,,China,Anhui,Hefei,http://www.yangtze-solar.com,http://yangtze-solar.en.alibaba.com/contactinfo.html
"Guangdong JYC Battery Manufacturer Co., Ltd.",Ms. Kenny Lee,Marketing Manager,86-020-36595615,86-13726834322,86-020-32439640,"Yongtai Business Center, B310-312, Baiyun, Guangzhou",510420,China,Guangdong,Guangzhou,http://www.jycbattery.com.cn,http://jycbattery.en.alibaba.com/contactinfo.html
"Shenzhen Lepower Electronic Co., Ltd.",Mr. Mars Huang,Manager,86-755-85277150,86 1892345 6561,,"5th Floor, C Section, the Second Industrial of TaoXia Village,GaoFeng Community, Dalang Street, LongHua New District,ShenZhen China",518109,China,Guangdong,ShenZhen,http://www.szlepower.com/,http://szlepower.en.alibaba.com/contactinfo.html
"Fujian Super Solar Energy Technology Co., Ltd.",Ms. Susie Tong,Manager,86-592-6683155,18767091877,,"#1203, Building A02, Jimei Software Park",361022,China,Fujian,xiamen,http://chinasupersolar.com,http://supersolar.en.alibaba.com/contactinfo.html
"Foshan Zhaoneng Battery Industrial Co., Ltd.",Ms. Katrina Luo,,86-757-81289786,13724662111,86-757-81289787,"No.8,Nanda Road, Jinsha Chengnan Industrial Zone,Danzao Town, Nanhai District,",528216,China,Guangdong,FOSHAN,http://www.zhaoneng-battery.com.cn,http://fszhaoneng.en.alibaba.com/contactinfo.html
"Howell Energy Co., Ltd.",Ms. Lola Zhang,,86-755-89335456,,86-755-89335457,"B1010,Genzon Times Square,Longgang Center",518172,China,Guangdong,Shenzhen,http://www.howellenergy.com,http://howellbattery.en.alibaba.com/contactinfo.html
"Dongguan Heyi New Energy Co., Ltd.",Ms. Lindy Chen,,86-0755-21503099,,,Huangjiang,,China,Guangdong,Dongguan,http://www.heyibattery.com,http://heyienergy.en.alibaba.com/contactinfo.html
"Shenzhen Kingstar Communication Technology Co., Ltd.",Mr. King Loyal,,86-755-89635896,13322929224,,"No.106, Bldg P24, ChinaSouthCity PingHu",518111,China,Guangdong,Shenzhen,http://www.kingstarpower.com,http://kingstarpower.en.alibaba.com/contactinfo.html
"Quanzhou Jintion Electronics Co., Ltd.",Mr. Jacky chen,Board Chairman,86-595-22356888,15880948896,86-595-22578339,"Jintion Electronics Building, Nanhuan Road, Licheng District, Quanzhou City, Fujian Province. China",362000,China,Fujian,Quanzhou,http://www.jintionbattery.com,http://jintion.en.alibaba.com/contactinfo.html
"Zhongyin (Ningbo) Battery Co., Ltd.",Mr. Leo chen admin,General Sales manager,86-574-87990735,15657869139,86-574-87493903,"128 xingguang road,hi-tech pack, Ningbo City, Zhejiang Province. China",3150040,China,Zhejiang,Ningbo,http://www.sonluk.com,http://sonluk.en.alibaba.com/contactinfo.html
"Quanzhou Starming Trade Co., Ltd.",Mr. Jacky Chen,General Manager,86-595-22353612,15880948896,86-595-22353613,"928#,Nanhuan Road",362000,China,Fujian,Quanzhou,http://www.starming88.com,http://qzxingming.en.alibaba.com/contactinfo.html
