company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"TT Motor (Shenzhen) Industrial Co., Ltd.",Ms. Maggie Wang,Sales Manager,86-755-82501271,13510014479,86-755-82501105,"4th Floor,C Building,Huilongda Industrial Park,Shilong Community,Shiyan,Bao'An District,ShenZhen,China",518108,China,Guangdong,Shenzhen,http://www.ttmotor.com,http://ttmotor.en.alibaba.com/contactinfo.html
"Dongguan Lightning Energy Technology Co., Ltd.",Ms. Nikkie Chen,,86-0769-82865041,18664363413,,tangxia shahu dadao nan239hao,,China,Guangdong,dongguan,,http://shandian.en.alibaba.com/contactinfo.html
"Dongguan Heyi New Energy Co., Ltd.",Ms. Lindy Chen,,86-0755-21503099,,,Huangjiang,,China,Guangdong,Dongguan,http://www.heyibattery.com,http://heyienergy.en.alibaba.com/contactinfo.html
"Feili Pump Co., Ltd.",Mr. Abel Zheng,Foreign Sales,0086-0576-56560628,17376544253,,"xiayangao industrial zone,Daxi town,wenling city",317525,China,Zhejiang,Wenling,http://www.feiliby.com/,http://zjfeili.en.alibaba.com/contactinfo.html
"Nanjing Kaipinhui International Business Co., Ltd.",Mr. Robin CHEN,sales director,0086-0519-888888,15850731685,,"Room 1116-1117, FuXin international Building, No.365 HongWu Rd, Qinhaui District",210001,China,Jiangsu,NanJing,,http://pegasus-industrial.en.alibaba.com/contactinfo.html
"Guangzhou Kangyi Sporting Goods Co., Ltd.",Ms. Coco Liu,General Manager,0086-020-87305270,13434225551,,"No. 15, Huasheng North Road,Xicheng industrial estated ,Renhe Town ,Baiyun District ,Guangzhou ,China",510450,China,Guangdong,Guangzhou,http://www.ganasgym.com,http://kysports.en.alibaba.com/contactinfo.html
"Shenzhen Ahony Power Co., Ltd.",Ms. Sara Ahony Power,Sales Director,86-755-29565682,15889359965,,"4B,Quanju Industrial Park,Guangming District",518106,China,Guangdong,Shenzhen,http://www.ahonysolar.com,http://ahonypower.en.alibaba.com/contactinfo.html
"Jinan Dexian Machinery Co., Ltd.",Ms. Emma Lee,Sales Manager,0086-0531-80983066,15064026772,0086-00531-80981766,"NO.1888 ChunBo Road, Gaoxin District",250101,China,Shandong,Ji'nan,http://www.elephant-cnc.com,http://dexian.en.alibaba.com/contactinfo.html
"Hubei Huangtai Electronic Technology Co., Ltd.",Ms. Fiona Yan,Intl. Sales Manager,0086-0577-63050999,18167383660,,"No.2 Fengyuan Road,Zhenglou Standard Workshop,Wanquan Town,Pingyang County",325400,China,Zhejiang,Wenzhou,http://www.huangtaidz.com,http://huangtaiet.en.alibaba.com/contactinfo.html
"Nanchang Three Luck Model Co., Ltd.",Ms. CiCi Chen,Sales Manage,86-791-88556889,18679051337,86-791-88553889,"No.3333 Ziyang Road,Greenland 39 , room 2103",330029,China,Jiangxi,Nanchang,http://www.tmotor.com,http://rctmotor.en.alibaba.com/contactinfo.html
"Delixi(Hangzhou) Inverter Co., Ltd.",Mr. Will DELIXI,,0086-0571-56623888-6888,,,NO.8 Zhuantang Town XIHU district Hangzhou,,China,Zhejiang,HANGZHOU,http://www.delixidrive.com/,http://delixiinverter.en.alibaba.com/contactinfo.html
"Yiwu Donghui Solar Technology Co., Ltd.",Mr. jiang zhiwen,,86-0579-82401322,13566954726,,"China Zhejiang yiwu 7/F, Yuye Building, 877 Chengbei Road, Futian Street",322000,China,Zhejiang,yiwu,https://ywdonghui1.en.alibaba.com/?spm=a2700.details.cordpanyb.1.2eec6285STJFDF,http://ywdonghui1.en.alibaba.com/contactinfo.html
"Shantou Chenghai Happy Sun Toys Co., Ltd.",Mr. Justin Lin,Director,86-754-85732248,8613415038100,86-754-85806634,"Shuji Road, Longtian, Chenghai",515800,China,Guangdong,Shantou,http://www.ChinaToysFactory.com,http://happysuntoys.en.alibaba.com/contactinfo.html
"Yongkang Weide Industry & Trade Co., Ltd.",Mr. Harrison Lv,sales manager,86-579-87178226,13738967008,86-579-87178226,Chengxi industry zone,321300,China,Zhejiang,Yongkang City,http://www.odogym.com,http://bvehicle.en.alibaba.com/contactinfo.html
"Dongguan Yongsheng Packing Products Co., Ltd.",Ms. Fanny Qin,Manager,0086-769-82828239,008613725886995,0086-769-82828235,"No.32 Jinyuanxin Road, Shilongkeng Industrial area, Liaobu Town",523428,China,Guangdong,Dongguan,http://www.ys-material.com,http://yongsheng618.en.alibaba.com/contactinfo.html
"Shanghai Changhui Imp.-Exp. Co., Ltd.",Mr. Bin Li,Manager,0086-21-69573088,15221557824,0086-21-69574732,"No.1558,BaAn Road,AnTing Auto City,JiaDing District,Shanghai,P.R.China.",201814,China,Shanghai,Shanghai,http://www.changhui.com,http://cn-changhui.en.alibaba.com/contactinfo.html
"Shenzhen Jinfeng Industrial Co., Ltd.",Ms. Raffia Hu,,86-755-32872227,13724814046,86-755-22258815,Longhua,,China,Guangdong,shenzhen,,http://souffle.en.alibaba.com/contactinfo.html
"Zhongshan Xinyi Electric Co., Ltd.",Mr. Danny Wang,Sales Director,0086-0760-22822257,18300047105,0086-0760-22822357,Zone of Xinmao industry Henglan town,528478,China,Guangdong,Zhongshan city,http://slfan.com,http://slfan.en.alibaba.com/contactinfo.html
"Yongkang Yuechi Technology Co., Ltd.",Mr. Eric Jia,,86-579-89297993,13586669263,,Jinzhou Building,,China,Zhejiang,Yongkang,http://ycfit.en.alibaba.com,http://ycfit.en.alibaba.com/contactinfo.html
"Zhangjiagang Proman Machine Co., Ltd.",Mr. Sean Zhou,Manager,0086-0512-58659430,18652432772,,"Yucai Road,Sanxin town",215600,China,Jiangsu,Zhangjiagang,http://www.promanmachine.com,http://promanmachine.en.alibaba.com/contactinfo.html
"Zhengzhou Shenlong Animation And Amusement Equipment Co., Ltd.",Ms. Shenlong Rides,sales manager,86-0371-64855188,86 15617952111,86-0371-64855188,"(No. 155, Zhenqu St.) Wangcun Industrial Park, Wangcun Town, Xingyang",450142,China,Henan,Zhengzhou,http://zzslyl.en.alibaba.com,http://zzslyl.en.alibaba.com/contactinfo.html
