company_name,contact_name,position,tel,mobile,fax,address,zip_code,country,province,city,website,ali_website
"Wenzhou Jiahua Auto Parts Co., Ltd.",Ms. Sunny Yu,manager,0086-0577-66756899,15167405703,,"58 # Haicheng East Road, Haicheng Street, Wenzhou, Zhejiang ,China",325207,China,Zhejiang,Wenzhou,http://www.wzjiahua.en.alibaba.com,http://wzjiahua.en.alibaba.com/contactinfo.html
"Wenzhou Kinkong Auto Parts Co., Ltd.",Ms. Frida Xia,,86-577-62186369,86-13588746810,,Liushi,325604,China,Zhejiang,Wenzhou,http://www.kinkong-connector.com,http://kinkong-group.en.alibaba.com/contactinfo.html
"Gainstrong Industry (Shenzhen) Co., Ltd.",Mr. Trigg Shaw,Sales Manager,86-755-81720165,15919831110,86-755-27259359,"4/F,Building B,Hengmingzhu Industrial Park, Qian Jin 2nd Road,Baoan District,Shenzhen,China",518100,China,Guangdong,Shenzhen,http://www. gainstrong.cn,http://alljoyn.en.alibaba.com/contactinfo.html
"Changzhou Grand Electronic Co., Ltd.",Mr. hongwei wu,general manager,86-519-86702852,13706118190,86-519-86708322,"Sanqin Industrial Zone, Hutang, Wujin District, Changzhou City",213162,China,Jiangsu,changzhou,http://www.grand-elec.com/english/index.asp,http://czgld.en.alibaba.com/contactinfo.html
"Dongguan Snowolf Auto Parts Co., Ltd.",Mr. snowolf SN,manager,86-0769-85569901,15814341272,,humen baida eletronic city 1203,,China,Guangdong,DongGuan,https://snowolf.en.alibaba.com/,http://snowolf.en.alibaba.com/contactinfo.html
"Changlan Electric Technology Co., Ltd.",Mr. Richard Xiao,Manager,0086-731-85541801,0086-13755180797,0086-731-85554380,"Lu Valley high-tech industrial Park, TongZiPo West Road, No. 223",410205,China,Hunan,ChangSha,http://www.csdlfj.com,http://changlan.en.alibaba.com/contactinfo.html
"Shenzhen Innovo Technology Co., Limited",Louis Zhuang,,86,15999542558,,,,China,,,https://www.hk-innovo.com,http://cn1527358484qwbd.en.alibaba.com/contactinfo.html
"Chengdu Oersted Technology Co., Ltd.",Ms. Aimee Tan,Boss,86-028-02804020,13980608051,,"No.228, Gaode road ,Pidu district ,Chengdu city, Sichuan province, China.",,China,Sichuan,Chengdu,http://www.oersted-tech.com/,http://cdoersted.en.alibaba.com/contactinfo.html
"Dongguan Jinhongwei Cable Co., Ltd.",Ms. joan zeng,sales manager,0086-0769-87510591,,,Fenggang,523878,China,Guangdong,Dongguan,,http://dgjhw.en.alibaba.com/contactinfo.html
"Hangzhou Delixi Imp & Exp Co., Ltd.",Ms. Joanna Ji,Manager,86-571-85221566,008613989800585,,Zhuantang,310024,China,Zhejiang,Hangzhou,http://www.hz-delixi.com,http://dlxexp.en.alibaba.com/contactinfo.html
